,Saliency,GradientInput,IntegratedGradients,SmoothGrad,VarGrad,SquareGrad,GradCAM,GradCAMPP,Occlusion,Rise,GuidedBackprop,SobolAttributionMethod,DeconvNet,HsicAttributionMethod,Lime,KernelShap
0d2be6df4e1b47cd0a5cae1a738da7ebd725328b.jpeg,54.747997,19.218418,16.57024,0.65354955,0.007238516,0.009348624,8.41485,1.3561963,430.03726,5630357.5,186408.7,2403.5166,2574867800000000.0,21824.041,91.803894,167.11168
1e61fe2b39a6fe93be89a947ac93ed15c84b7744.jpeg,31.427917,12.770201,10.987898,0.4435307,0.0016247273,0.0016843947,5.976691,1.6519763,153.15071,8675778.0,49024.195,1849.399,5689203000000000.0,58733.0,61.967186,99.75993
2b11585d8f8e812f132d576caa710c72fdaf6b95.jpeg,104.35939,24.39901,26.527252,3.3330636,0.2509867,0.20640314,18.442366,3.1265886,703.8454,5320946.0,88653.766,29.747478,4404623000000000.0,155101.64,94.92892,143.57565
319ace1399ee4f529f9e2809b92a3b3c12fb9ed8.jpeg,5.5518045,3.3576674,5.9234962,1.081375,0.014016667,0.022552986,10.646226,1.4913284,72.153625,6282051.0,7735.9326,256.5094,4341607200000000.0,56580.51,23.335443,80.48323
38b4909ef866cfddd87f9e4d9e6c4cd29a4baaea.jpeg,26.078867,25.362541,21.90723,0.52813107,0.0037404534,0.0034772165,96.917,19.730032,162.21544,7826918.5,5151.9385,858.53357,4604746000000000.0,85549.516,19.365372,69.96153
4937cfae05416563ff976eb79dad6071d2222606.jpeg,6.6142044,2.4048748,7.3543463,0.9952278,0.007075356,0.0060578147,5.089892,0.7910622,66.77774,7661609.5,770.69794,1672.2219,4896415700000000.0,96039.83,34.63023,88.182144
6649143d6d6f4e42f23ea1100e5862ec32b71d6b.jpeg,4.5460587,2.3041234,4.2664742,1.0617343,0.010714516,0.012732198,8.717708,1.305127,30.75047,6729575.0,2198.7632,76.11917,3185384500000000.0,309057.8,27.322266,81.60519
6832bf7f44e9db4fbec1339014fc6245bbd5d20f.jpeg,11.050142,2.9027932,2.6170862,0.08848532,4.9321203e-05,5.344859e-05,53.699623,9.669719,49.64247,7048261.5,15163.239,229.45862,3727049700000000.0,31.240503,4.136515,162.43027
7081dbd0ab66efa88bdcafee0fd429c7b20f9ad4.jpeg,33.1816,16.773401,19.2956,1.496821,0.021860594,0.02282223,2.5574133,0.47940516,354.33234,7572963.0,6079.0635,180.38031,4719967000000000.0,298932.8,14.351758,118.57009
74e3f3ed5b3dc7e985fae42a41db5f18df5277c3.jpeg,19.353361,3.6810672,4.832152,0.5344453,0.0050087282,0.0060379812,3.6850963,0.27963522,166.11336,6102748.5,15552.981,135.31425,3865613000000000.0,13621.943,47.78247,93.022354
782953c341ad40b1a0aa715e5b951b6aadcb3a25.jpeg,23.60571,18.385431,28.568237,3.4632878,0.31084082,0.23584338,7.060675,1.4017584,241.30359,5288464.0,6805.3843,301.93,5156995700000000.0,427126.56,38.90614,114.386375
78caed38adf326cea37f03960d804283fe5f9164.jpeg,5.3808813,2.841201,4.379986,0.67362666,0.0054962956,0.00494673,59.00838,9.929919,47.47289,7537352.0,2536.4504,339.4605,3820667600000000.0,6887.971,37.057186,126.62813
8f6c0c76a4ba038b28e559fafe2b015c3cd6b39e.jpeg,21.869196,11.029096,14.352132,1.4015707,0.03050152,0.025739428,19.480429,3.16932,422.41974,6757581.0,9552.738,190.97282,5563774000000000.0,272369.4,29.074484,113.829666
919d12514a1903b7242210423a0507605a0b28c2.jpeg,54.611217,12.762854,19.20715,2.7257156,0.24731836,0.20244507,11.380763,2.0582917,254.11179,3716150.5,3714.1667,42.495247,2920288700000000.0,37308.56,61.036266,92.09463
9628e7f7e3f9e89ad5c040e29523b78150da7cf1.jpeg,19.431934,16.504498,21.664959,2.5993419,0.15641573,0.15246129,10.207283,1.6256764,217.33195,4335718.5,3383.9739,32.02938,4134113000000000.0,32952.242,28.660625,99.871185
9be6a4974aedf3133ae07d8265c5cd89a098644a.jpeg,29.866817,26.609293,25.873123,6.6216326,0.36029243,0.37656212,29.998297,5.1112847,170.8624,4538209.0,641.53937,19.935068,5038926000000000.0,9172.849,29.743443,103.26892
b59e7d5f533c680b7e05fbf21b0f67c9f49d9867.jpeg,72.26315,35.22896,51.8495,4.435103,0.25299764,0.3146349,16.584301,2.98071,633.3756,4512812.0,3027.629,119.34807,2918088800000000.0,10186.289,18.863636,84.67545
c90306b60cf4200dc415fa3387dc6c2b2ea619c4.jpeg,2.4387467,0.92670745,1.4398931,0.07664739,4.197557e-05,4.803802e-05,39.066208,7.6830306,23.761776,7703905.5,91.52266,28.901825,3786789400000000.0,253.28679,0.65718687,188.2729
d3844aef6f6dd9f1f28a6c969c0fe370334a954a.jpeg,11.878981,13.7028675,13.336199,0.8611396,0.005975255,0.006538947,12.75434,1.4449346,112.449295,3933209.5,897.446,69.33365,3421647200000000.0,375616.25,14.036949,94.35047
f81aea1c65e9821901c13ea6dd482ce0638d8b0e.jpeg,85.1421,24.110939,27.51972,2.1318562,0.07972434,0.09003425,8.017704,1.9851105,952.4222,5884393.5,23649.104,13.698282,5228677000000000.0,921874.8,52.59385,93.62711
