,Saliency,GradientInput,IntegratedGradients,SmoothGrad,VarGrad,SquareGrad,GradCAM,GradCAMPP,Occlusion,Rise,GuidedBackprop,SobolAttributionMethod,DeconvNet,HsicAttributionMethod,Lime,KernelShap
0d2be6df4e1b47cd0a5cae1a738da7ebd725328b.jpeg,0.033300832,-0.22918323,0.064890124,-0.06863422,0.22199506,0.26192904,0.13889897,-0.046937674,-0.034664366,-0.14951704,-0.098210454,0.24202356,-0.011076277,0.015412886,0.025635641,0.10929123
1e61fe2b39a6fe93be89a947ac93ed15c84b7744.jpeg,-0.15933399,-0.02156454,0.09839796,-0.10864322,0.2648076,0.4483867,-0.031457286,-0.18924923,0.015478887,-0.05553139,-0.28582314,-0.06249456,-0.24946223,0.041399535,0.09106128,-0.013491337
2b11585d8f8e812f132d576caa710c72fdaf6b95.jpeg,0.26129004,0.19622591,0.40655968,-0.1999295,0.5932273,0.6629566,0.10554714,0.21653491,-0.31535438,0.17262131,0.22689568,0.20566565,-0.05573239,0.101407036,0.027648691,0.010125253
319ace1399ee4f529f9e2809b92a3b3c12fb9ed8.jpeg,0.05996177,-0.071221784,-0.018063452,0.095423386,-0.02513763,-0.050662268,0.13345383,0.10959274,0.09963849,0.090651765,0.09501988,0.14900923,0.050248258,0.15708242,0.13050327,0.07364284
38b4909ef866cfddd87f9e4d9e6c4cd29a4baaea.jpeg,0.024137104,-0.006133653,0.31392035,0.06275707,-0.08727218,0.11011475,0.15131928,-0.013651841,-0.19000675,0.19942549,0.08499362,-0.04121203,-0.05002775,0.16889973,-0.11083927,-0.073288836
4937cfae05416563ff976eb79dad6071d2222606.jpeg,0.04324008,0.022650566,-0.004156604,0.26240006,0.26569864,0.28604302,-0.2356529,-0.049807247,0.25660393,0.05154429,-0.14694367,0.14557263,0.013303832,0.050144754,0.038991977,-0.053426106
6649143d6d6f4e42f23ea1100e5862ec32b71d6b.jpeg,0.16355209,-0.03331733,-0.06703368,0.37298733,0.31105378,0.31022125,0.10525463,0.27696392,-0.18705767,-0.25443935,0.2597,0.070311256,-0.1915263,0.43776944,0.27858695,0.36645016
6832bf7f44e9db4fbec1339014fc6245bbd5d20f.jpeg,-0.18651916,0.050593264,-0.0074191852,-0.24942324,-0.049285233,-0.034646366,-0.0439736,-0.060187504,0.002721068,0.13051526,0.03287332,-0.14233406,0.2672332,-0.24698417,-0.04082802,0.15136728
7081dbd0ab66efa88bdcafee0fd429c7b20f9ad4.jpeg,0.20472662,-0.027777694,0.2563489,-0.14266707,0.025394134,0.29043737,-0.0027795695,-0.03554789,-0.054875873,0.20991525,0.20153904,-0.05319283,0.029330233,0.036569413,-0.015499887,0.19647641
74e3f3ed5b3dc7e985fae42a41db5f18df5277c3.jpeg,-0.30597016,0.21879096,0.02961974,-0.22963174,-0.42420012,-0.37865898,-0.37011024,-0.24865071,0.16364358,0.119865,0.21168229,-0.3315158,0.2124353,-0.22306158,-0.31399685,-0.14933774
782953c341ad40b1a0aa715e5b951b6aadcb3a25.jpeg,0.033300832,0.24534313,-0.045346152,-0.033852845,0.19669542,0.20598964,-0.076999925,-0.026498163,0.02039751,-0.17111228,-0.20222905,-0.07312233,0.017301433,-0.021741543,0.086996175,0.0068671717
